Timestamp,symbol,Open,High,Low,Close,Volume
2018-05-27 00:00,BTC/USDT,7334,7400,7231.11,7338.99,18706.94552
2018-05-28 00:00,BTC/USDT,7338.99,7437,7058.02,7099,27219.43896
2018-05-29 00:00,BTC/USDT,7099,7540,7032.95,7461.29,39407.21183
2018-05-30 00:00,BTC/USDT,7467.98,7569,7260.5,7375.96,32041.58362
2018-05-31 00:00,BTC/USDT,7382.07,7699,7327.51,7485.01,30776.0631
2018-06-01 00:00,BTC/USDT,7485.01,7608.55,7355.54,7521.01,28259.12408
2018-06-02 00:00,BTC/USDT,7521.01,7697.33,7437,7640.03,26720.69022
2018-06-03 00:00,BTC/USDT,7636.81,7786.69,7600,7714.26,27505.15895
2018-06-04 00:00,BTC/USDT,7714.26,7760.52,7446.5,7487,32258.83512
2018-06-05 00:00,BTC/USDT,7487,7679.49,7358,7625,31722.97338
2018-06-06 00:00,BTC/USDT,7626.64,7699,7467.05,7658.84,27229.9919
2018-06-07 00:00,BTC/USDT,7658.79,7765,7620,7691.08,25062.2272
2018-06-08 00:00,BTC/USDT,7691.08,7703.5,7531,7603.44,23396.80467
2018-06-09 00:00,BTC/USDT,7603.44,7683.98,7450,7491.73,19339.88518
2018-06-10 00:00,BTC/USDT,7491.73,7491.73,6622.81,6764.99,52342.02003
2018-06-11 00:00,BTC/USDT,6765,6922,6610,6872,34552.1623
2018-06-12 00:00,BTC/USDT,6872,6890.51,6435,6530,36722.21119
2018-06-13 00:00,BTC/USDT,6530,6627.6,6118.68,6292.78,46185.5181
2018-06-14 00:00,BTC/USDT,6292.78,6720,6260,6635.98,44478.13084
2018-06-15 00:00,BTC/USDT,6638.67,6666.66,6362.31,6388.9,30018.32991
2018-06-16 00:00,BTC/USDT,6380.01,6560,6320.86,6483.98,22277.24115
2018-06-17 00:00,BTC/USDT,6482.5,6589.03,6422,6449.61,19847.24769
2018-06-18 00:00,BTC/USDT,6444.06,6794.38,6380,6712.46,31821.435
2018-06-19 00:00,BTC/USDT,6711.39,6841.74,6653,6741.21,24311.42114
2018-06-20 00:00,BTC/USDT,6740,6817.23,6551.81,6761.51,26359.75245
2018-06-21 00:00,BTC/USDT,6763.21,6795,6672.57,6718.84,25428.85405
2018-06-22 00:00,BTC/USDT,6717.69,6733.97,5918.94,6045,52157.37083
2018-06-23 00:00,BTC/USDT,6045.92,6260,6008.48,6149.98,26622.78859
2018-06-24 00:00,BTC/USDT,6149.98,6259.8,5750,6136.97,47445.99896
2018-06-25 00:00,BTC/USDT,6137.95,6350,6061.97,6252,39164.51531
2018-06-26 00:00,BTC/USDT,6252,6272.54,6035,6070.78,19377.24048
2018-06-27 00:00,BTC/USDT,6065.89,6190.43,5971,6133.73,19225.6711
2018-06-28 00:00,BTC/USDT,6134.73,6173.01,5827,5853.98,30585.26603
2018-06-29 00:00,BTC/USDT,5851.01,6300,5780,6197.92,33911.28728
2018-06-30 00:00,BTC/USDT,6197.92,6528.99,6186.03,6390.07,37919.61284
2018-07-01 00:00,BTC/USDT,6391.08,6441.06,6251,6356.81,27562.96597
2018-07-02 00:00,BTC/USDT,6360.82,6685,6271.62,6615.29,36230.45226
2018-07-03 00:00,BTC/USDT,6615.29,6679.35,6463.01,6513.86,38657.78169
2018-07-04 00:00,BTC/USDT,6511.01,6784.92,6441.11,6586.98,23571.89278
2018-07-05 00:00,BTC/USDT,6585.53,6712,6453.33,6529.2,35071.9729
2018-07-06 00:00,BTC/USDT,6529.2,6648.54,6425,6609.78,29397.09475
2018-07-07 00:00,BTC/USDT,6609.79,6818.16,6508.88,6756.98,23973.87689
2018-07-08 00:00,BTC/USDT,6753.48,6780,6667.44,6712.1,24622.94779
2018-07-09 00:00,BTC/USDT,6712.1,6802.06,6612.24,6662.12,26732.40655
2018-07-10 00:00,BTC/USDT,6662.78,6681,6263,6296.91,38560.6727
2018-07-11 00:00,BTC/USDT,6296.91,6406,6278.99,6378.07,28715.49849
2018-07-12 00:00,BTC/USDT,6378.07,6380.28,6070,6250.57,31306.66335
2018-07-13 00:00,BTC/USDT,6251.4,6350,6110,6214.57,26375.32529
2018-07-14 00:00,BTC/USDT,6214.57,6335,6178,6251.99,17783.072
2018-07-15 00:00,BTC/USDT,6250.9,6395,6225.4,6353.01,22979.21151
2018-07-16 00:00,BTC/USDT,6354.15,6747.3,6330.4,6723.35,36204.87708
2018-07-17 00:00,BTC/USDT,6723.33,7468.99,6652.04,7317.44,52105.42346
2018-07-18 00:00,BTC/USDT,7317.44,7588.08,7225.38,7381.9,59487.64345
2018-07-19 00:00,BTC/USDT,7381.88,7576.28,7270,7466.21,41218.25644
2018-07-20 00:00,BTC/USDT,7468.86,7700,7273,7337.53,46140.31345
2018-07-21 00:00,BTC/USDT,7337.47,7458.47,7211,7398.78,28886.49029
2018-07-22 00:00,BTC/USDT,7399.25,7582.4,7335.5,7394.79,30270.21844
2018-07-23 00:00,BTC/USDT,7394.78,7833,7375,7721.01,41646.34667
2018-07-24 00:00,BTC/USDT,7721.65,8486,7696,8397.24,60121.16375
2018-07-25 00:00,BTC/USDT,8397.24,8491.77,8050,8175.64,48257.64912
